Area,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,3.5,3.8,1.6,0.9,2.7,2.4,5.7,2.8,1.4,0.3,-0.2,-3.5,2.4,1.2,0.6,2.5,0.7
Alaska,-3.7,-0.7,-1.7,4.3,2.8,-0.7,4.3,2.5,6.4,5.2,0.3,7,-2.2,2.6,3.3,-4,-1.3
Arizona,8.5,8.6,5.2,2.2,2.7,5.7,3.6,7.8,5.8,2.7,-2.8,-8.2,1.1,1.7,2,0.8,1.4
Arkansas,2.2,5.3,0.7,-0.1,2.9,4.2,4.6,2.8,3,0.6,1.3,-3,3.5,2.4,0.8,1.9,0.8
California,6.5,7.5,7.6,-0.3,2.5,4,4.2,4,3.2,1.6,0.5,-4.4,1.1,1.2,2.5,2.3,2.8
Colorado,8.4,7.2,7.4,1.7,0.6,0.9,1.8,4.5,1.7,2.1,1.8,-1.4,1.3,1,2.1,2.1,4.7
Connecticut,3.3,2.6,6.4,1,-0.4,1.9,6.5,1.7,3.3,3.7,-3.5,-4.3,1.4,-0.9,0.3,1,0.6
Delaware,4.7,7.7,3.6,1.8,-2.4,4.5,6.6,1.6,2.5,-0.2,-5.6,3,0.6,1.2,-3,0.7,1.2
District of Columbia,1.5,4.7,0.6,4.9,2.6,2.5,3.9,1.6,2.1,2.5,3.3,-1.3,2.8,1.9,0,-0.6,1.6
Florida,4.9,4.4,4,2.8,3.9,4.2,5.6,6.7,3.5,0.4,-4.1,-6.2,0.1,-0.6,1.7,2.5,2.7
Georgia,6.8,6.8,3.5,1.1,0.5,2,2.6,3.9,1.6,1.7,-1.6,-3.5,0.4,1.4,0.9,2,2.3
Hawaii,-3.1,1.3,1.8,-0.2,2.9,4.6,6.4,5.3,2.5,1.9,0.9,-3.7,2.5,1.6,1.5,1.4,0.8
Idaho,4.4,9.9,11.5,-2.7,2.5,3.2,4.9,6,5.4,2.7,0.5,-4.4,1.1,-0.2,0,2.6,2.7
Illinois,3.2,3.4,3.4,-0.2,0.3,1.5,2.5,1.7,2.7,1,-1.8,-2.8,0.9,1.8,1.8,0.2,1.2
Indiana,6.2,3.2,3.1,-2,2.4,3.6,3.6,0,2,2.4,-0.5,-6.4,6.2,0.2,0.5,2.2,0.4
Iowa,0.9,2.1,5,-1.9,2.8,4.4,7.8,2.5,1.2,3.5,-2.1,-1,2.1,2.3,3.4,2.2,0.4
Kansas,3.5,3,2.7,0.3,1.6,2.5,0.8,2.7,3.5,4.2,1.1,-4.3,3.2,3.6,0.4,-0.3,1.8
Kentucky,2.8,3.5,-2.9,0.5,2.6,2.1,2.4,2.9,2.6,-1,0.3,-4,4.5,1.9,1,1.2,1
Louisiana,3.2,1.9,-3.2,1.9,1.5,4.3,3.7,5.4,-1.8,-3.1,0.5,2.3,4.8,-3.4,1.9,-2.5,1.9
Maine,2.6,4.7,3.9,1.7,2.5,2.4,3.5,0.2,1.4,-0.5,-0.2,-1.8,1.3,-0.9,-0.1,0.5,0.2
Maryland,4.6,4,3.3,4,3.5,2.8,4.6,3.7,1.9,1.4,1,-0.3,2.5,1.3,0.4,0.7,0.8
Massachusetts,4.2,5.3,8,1,0.5,2.5,2.1,1.6,1.6,2.6,0.2,-2.6,3.4,2.3,1.7,1.2,2.3
Michigan,2.4,5.2,1.4,-2.8,2.9,2,-0.4,1.3,-1.7,-1.3,-4.9,-8.3,4.9,2,1.6,2.8,1.9
Minnesota,5.3,3.8,6.7,0.5,2.4,4,3.3,2.6,-0.3,0.1,0.8,-3.7,3.6,2.1,1.2,2.1,1.4
Mississippi,2.4,2.8,0.5,-0.9,0.9,4,2.2,1.8,2.7,1.9,1.1,-3.2,1.5,-0.3,3.4,-1.1,-1.2
Missouri,1.6,2.8,2.8,-0.5,0.8,2.4,2.2,1.5,0.9,0.1,1.3,-2.1,1.5,-1,0.9,1.8,0.9
Montana,3.7,1.6,2.2,1.9,2.1,4.3,3.9,4.1,3,4.9,0.1,-3.1,2.8,3.4,2,1,1.8
Nebraska,1.8,2.3,3.9,1.5,1.7,6.2,1.8,2.3,2.8,1.4,1.2,0.6,3.6,3.8,1,3.9,0.7
Nevada,4.8,7.2,4.4,2.2,3.4,4.7,10.7,8.4,3.1,1.2,-4,-9.2,-0.7,0.6,-0.2,0.7,1
New Hampshire,6.3,2.2,5.8,0.6,3.4,4.3,3.2,2.7,1.4,0,-1.5,-1.4,2.9,0.9,1.4,1.4,2.3
New Jersey,2,3.2,4.5,1.1,2.3,2.4,1.8,1.8,1.6,0.5,0.4,-4.1,1,-0.8,2.5,0.8,0.4
New Mexico,-0.5,6,2.1,1.2,2.5,3.3,6.2,0.5,1.5,0.3,0.3,0,0.3,0.1,0.6,1,1
New York,2,4.9,3,3,-0.1,0.2,3.1,4.4,2.8,1.1,-3.5,2.1,3.5,1.3,3.1,1,2.5
North Carolina,3.1,6.1,3.2,2.5,1.5,2.3,3.4,4.6,5.2,-0.1,0.7,-1.5,1.9,0.9,0.1,2.7,1.4
North Dakota,5.3,0.1,3.2,2.1,5.4,6.4,0.8,2.9,4.1,3.4,8.6,2.1,7.4,9.6,19.5,0.9,6.3
Ohio,3.5,2.2,2.1,-1.2,2.3,1.7,2.9,0.9,0.1,-0.3,-1.9,-5,2.2,2.9,1.6,2.1,2.1
Oklahoma,2,2.7,3.3,3.3,0.9,1.9,3,3.2,5.4,1.5,3.3,-2.5,1.8,2.6,3.5,1.8,2.8
Oregon,5,2.3,8.8,-1.5,2.7,3.8,9,2,8.8,3.2,5.4,-0.7,5.6,4.4,-0.2,-1,3.6
Pennsylvania,2.8,3,2.7,1.8,1.1,2,1.9,1.4,1.5,1.3,0.3,-2.1,2.2,1.1,0.7,1.5,1.8
Rhode Island,3.5,3.5,4.4,2.2,3.5,4.2,3.9,0.8,2,-2.3,-2.8,-1.1,2,-0.3,0.8,1.9,1.2
South Carolina,4,4.4,2.3,0.8,2.1,3.5,0.7,2.6,2.2,2.5,-0.5,-3.7,1.6,2.2,0.4,1.4,2.2
South Dakota,5.9,5,7.2,2.5,10.8,2.8,3.3,1.2,0.4,4.5,4.8,1,2.2,5,-0.9,0.9,0.6
Tennessee,5.9,3.3,1,0.6,3.1,3,4.3,1,2,-1,1,-3.6,1.4,2.6,3.5,1.6,1.7
Texas,7.2,4.3,3.6,2.6,1.6,0.6,4.9,1.8,5.7,4.4,0.5,-0.3,2.8,3.7,6.2,5.5,5.2
Utah,5.8,4.6,4.6,2.5,1.5,2.2,4.7,5.8,8.1,6,-1.5,-1.9,1.8,2.7,0.7,3.7,3.1
Vermont,2.9,5.1,5,2.8,3.1,4.2,3.6,1.6,0.6,-0.5,0.6,-2.4,3.7,2.8,0.4,-0.3,0.6
Virginia,4.8,5.1,4.1,2.9,0.5,3.7,3.9,5.3,2.3,0.8,0,0.5,2.4,0.6,0.7,0.4,0
Washington,6.3,6.6,1.2,-2.5,1.8,1.7,1.6,6.1,3.2,5.7,1.4,-2.5,2,0.7,2.7,2.3,3
West Virginia,1.3,3.7,-0.6,-0.3,1.1,0.3,1.9,2.6,1.6,-0.3,2.5,-0.7,2.5,2.2,-3.4,1.3,5.1
Wisconsin,3.4,3.9,2.5,0.7,2.3,3,3.1,2.1,1.4,0.3,-1.1,-2.6,2.6,2,1.1,2.2,1
Wyoming,2,3.8,3.6,5.7,1.6,2.8,3.8,4.4,12,5.6,8.6,-0.7,-1.4,0.2,-5,0.5,5.1
